time,joint_name,joint_state,joint_reference
1721901454.999476,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0026709560013316036, -0.7810762249211711, 2.32947384328628, 0.01965200774261877, -0.001524641131560145, 0.002347465393176762, 0.0029165960075747677, 0.0022313373843321216, -0.7802992579919179, 2.329452280940293, 0.019657044078039476, 0.00040319014448542134, 0.0019737881263512946, 0.002710012725791522, -0.001961044233004472, -0.7775595228669507, 2.3226135081164596, 0.026416150046118858, -0.0005304991084296162, -0.0014429095776584688, 0.0013523902520145015, -0.0024470505157712097, -0.7804293657921111, 2.3310155514627233, 0.01971646620297829, 0.00010028698056352425, 0.0007790477748850222, 0.0013876924003213276","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.009138,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0026709560013316036, -0.7810762249211711, 2.32947384328628, 0.01965200774261877, -0.001524641131560145, 0.002347465393176762, 0.0029165960075747677, 0.0022313373843321216, -0.7802992579919179, 2.329452280940293, 0.019657044078039476, 0.00040319014448542134, 0.0019737881263512946, 0.002710012725791522, -0.001961044233004472, -0.7775595228669507, 2.3226135081164596, 0.026416150046118858, -0.0005304991084296162, -0.0014429095776584688, 0.0013523902520145015, -0.0024470505157712097, -0.7804293657921111, 2.3310155514627233, 0.01971646620297829, 0.00010028698056352425, 0.0007790477748850222, 0.0013876924003213276","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.0121918,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0026746339474499337, -0.7810943397784191, 2.3294872049486486, 0.019613028330717874, -0.0015244312495479306, 0.002433204255268606, 0.00291459995598764, 0.0022420152786670755, -0.7802995726171256, 2.3294650986396324, 0.01962169156331406, 0.00040996715086105695, 0.001985522123508332, 0.002715984359642043, -0.001974057790308237, -0.7775636553908649, 2.3225161702808563, 0.026547064780704233, -0.0005376231613114513, -0.0014848187173477356, 0.0013538202670488886, -0.0024769218610405375, -0.7804291089998614, 2.3310282098670942, 0.019683331443013152, 9.560732618929535e-05, 0.0007899539632179042, 0.0013768474882827064","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.0208478,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.002679586466481254, -0.7811062758518572, 2.3295199233543773, 0.019580534114454373, -0.0015262124150847711, 0.002468868371619415, 0.002918827522670142, 0.0022521823053960333, -0.7802998018604166, 2.3294771993223637, 0.01958607206791463, 0.0004169131765889844, 0.0020000477574209086, 0.002722056599131939, -0.0019870736171991865, -0.7775642703474341, 2.322412592602136, 0.02667437309366072, -0.0005444290755258763, -0.0015294022019833875, 0.0013591554416558793, -0.0025066999537113333, -0.7804283365569056, 2.3310409739956164, 0.019650137377690946, 9.092181542946776e-05, 0.0007997105410462169, 0.001366132308538326","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.032717,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0026872633158117054, -0.7810966888486233, 2.329551955148675, 0.01954893866166163, -0.0015283588066328235, 0.0024483723831076887, 0.0029235840610395414, 0.0022625592343583634, -0.7803002468746962, 2.3294886388275327, 0.019550187274727904, 0.0004240832634829772, 0.0020177277100073, 0.0027285281994533506, -0.002000271679008847, -0.7775619833967609, 2.3223140061052963, 0.026730022052643854, -0.0005518743371171198, -0.0014963469193221002, 0.001361790752253178, -0.0025357295587919992, -0.7804262503329156, 2.3310531383346245, 0.0196167650536081, 8.628676661537327e-05, 0.0008087609192415357, 0.0013550755476146037","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.0439367,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0026978938553678944, -0.7810727442063614, 2.3295859672690895, 0.019517693137083292, -0.0015315109285776174, 0.0023835081589220763, 0.0029304074697593663, 0.0022729285261524623, -0.7801440697696815, 2.3293391969043107, 0.01953398090546088, 0.0004315706984012735, 0.0020192797294047438, 0.0027386354085416897, -0.002017076296315423, -0.777559770634829, 2.3226289305354246, 0.026392835094669387, -0.0005473035729046671, -0.0014607181414270087, 0.0013656036747491385, -0.002563957349201118, -0.780423293607952, 2.331065028138312, 0.01958328142639143, 8.178282046777952e-05, 0.0008170639184594819, 0.0013434356397858949","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.0555496,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0027105847136770223, -0.7810414730919684, 2.329620411225159, 0.019486487336522806, -0.001535279041158688, 0.0022974668447561797, 0.002933637495153185, 0.002284284590412966, -0.7801589306706802, 2.3293552074103623, 0.019501242704407673, 0.0004380022571286446, 0.0020495262930086966, 0.002748713920139423, -0.0020306813664099366, -0.777569459616906, 2.322527967401262, 0.02652360322701597, -0.000553801063363224, -0.0015012406174328419, 0.0013681046544373743, -0.0025914981046284424, -0.7804141951993788, 2.331075195133856, 0.0195497425791773, 7.705290479798066e-05, 0.0008229810930950876, 0.0013303430845361675","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.067048,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.002723895109538077, -0.7810221601235368, 2.3296491604525524, 0.01945280550267814, -0.0015393040971076744, 0.00224956302555146, 0.00292994579266459, 0.0022951923779794825, -0.7801733636766528, 2.329375837423772, 0.0194686868717735, 0.00044528457254244813, 0.0020802330552180948, 0.002758159597536114, -0.0020443448831102273, -0.777573540380903, 2.3224226777663635, 0.02665038206399739, -0.0005604803512984091, -0.0015444992690412107, 0.0013736766079288643, -0.0026188421282498098, -0.7804061674306109, 2.331087635651107, 0.01951665635000399, 7.281364568889614e-05, 0.0008240410495545802, 0.0013170150493468924","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.0785096,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.002735129024371119, -0.7810258412161746, 2.3296717600185826, 0.019416707576213277, -0.001539173810023442, 0.0022484887964226985, 0.002920644244816195, 0.002306220277437987, -0.7801847603942562, 2.329394723557785, 0.019435566792845194, 0.00045278744620258493, 0.002110822639088461, 0.0027670505384218558, -0.002058077705850536, -0.7775718470126671, 2.3223248165241266, 0.026701897634146654, -0.0005683057548093728, -0.0015052387524887578, 0.00137557483854156, -0.0026461036040981156, -0.7804010948951952, 2.3310992803692283, 0.019483364594763408, 6.915096498616435e-05, 0.0008274514146151546, 0.0013034634168604953","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721901455.0901597,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0027427517315352645, -0.7810340190980378, 2.329682599017586, 0.019378223929444438, -0.0015378985768750297, 0.0022885827194327746, 0.002912553704063292, 0.0023164415072400857, -0.7801919457751261, 2.329412388123938, 0.01940197177564862, 0.0004602700529883208, 0.00213792301261595, 0.0027755037627015255, -0.00207358145860681, -0.7775697333052429, 2.322382395364265, 0.026597238871398865, -0.000576093431618574, -0.0014706889594018335, 0.001378615043505782, -0.002673763586026112, -0.7803996707368004, 2.3311107125486963, 0.019450009783429145, 6.613225220597485e-05, 0.0008345684685018284, 0.0012898507385799007","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
