time,joint_name,joint_state,joint_reference
1721902884.1100836,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.002959287281693257, -0.8377468513322972, 2.3407572891887725, 0.07243631378338566, -0.0006963248635356578, -3.326112381341062e-05, -0.0015532989680888676, -0.0008677891770272339, -0.8382212063927241, 2.341460428914486, 0.07225835852806117, -0.0005161056210987169, -0.00048909206276182, 0.0013512661453471964, 0.0008822227268643346, -0.8380022960940234, 2.33999235951611, 0.07180074750970356, 0.00012500517547309187, 0.0007555719273950601, 0.0016768755202711816, -0.0032293231485169827, -0.8381634913491025, 2.341563202012118, 0.07244051422855158, -0.0005664790954362786, -0.0004310192248269118, -0.0005419433592503964","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.2094631,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.002959287281693257, -0.8377468513322972, 2.3407572891887725, 0.07243631378338566, -0.0006963248635356578, -3.326112381341062e-05, -0.0015532989680888676, -0.0008677891770272339, -0.8382212063927241, 2.341460428914486, 0.07225835852806117, -0.0005161056210987169, -0.00048909206276182, 0.0013512661453471964, 0.0008822227268643346, -0.8380022960940234, 2.33999235951611, 0.07180074750970356, 0.00012500517547309187, 0.0007555719273950601, 0.0016768755202711816, -0.0032293231485169827, -0.8381634913491025, 2.341563202012118, 0.07244051422855158, -0.0005664790954362786, -0.0004310192248269118, -0.0005419433592503964","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.309912,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.002959287281693257, -0.8377468513322972, 2.3407572891887725, 0.07243631378338566, -0.0006963248635356578, -3.326112381341062e-05, -0.0015532989680888676, -0.0008677891770272339, -0.8382212063927241, 2.341460428914486, 0.07225835852806117, -0.0005161056210987169, -0.00048909206276182, 0.0013512661453471964, 0.0008822227268643346, -0.8380022960940234, 2.33999235951611, 0.07180074750970356, 0.00012500517547309187, 0.0007555719273950601, 0.0016768755202711816, -0.0032293231485169827, -0.8381634913491025, 2.341563202012118, 0.07244051422855158, -0.0005664790954362786, -0.0004310192248269118, -0.0005419433592503964","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.4079978,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.00234508631758068, -0.859162865368214, 2.3524502779801963, 0.07256202292403469, -0.0007158040663348686, 0.0030792534123964543, -0.00138837936505265, -0.0013388878761224632, -0.859159940268647, 2.3533974811502905, 0.07248380250855035, -0.0003796942275053894, 0.0029000829668843764, 0.001243410629318653, 0.0008170472866257938, -0.8566823480003363, 2.3488666006700196, 0.07548346487841062, 0.0002928225459450928, -5.0855495858037614e-05, 0.001796353090484537, -0.0036865410521249586, -0.8585823435938433, 2.3530784239317573, 0.07248368528584503, -0.0002929979362944479, 0.0025052574788357873, -0.0004927383105117755","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.5080876,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.00234508631758068, -0.859162865368214, 2.3524502779801963, 0.07256202292403469, -0.0007158040663348686, 0.0030792534123964543, -0.00138837936505265, -0.0013388878761224632, -0.859159940268647, 2.3533974811502905, 0.07248380250855035, -0.0003796942275053894, 0.0029000829668843764, 0.001243410629318653, 0.0008170472866257938, -0.8566823480003363, 2.3488666006700196, 0.07548346487841062, 0.0002928225459450928, -5.0855495858037614e-05, 0.001796353090484537, -0.0036865410521249586, -0.8585823435938433, 2.3530784239317573, 0.07248368528584503, -0.0002929979362944479, 0.0025052574788357873, -0.0004927383105117755","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.607985,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.00234508631758068, -0.859162865368214, 2.3524502779801963, 0.07256202292403469, -0.0007158040663348686, 0.0030792534123964543, -0.00138837936505265, -0.0013388878761224632, -0.859159940268647, 2.3533974811502905, 0.07248380250855035, -0.0003796942275053894, 0.0029000829668843764, 0.001243410629318653, 0.0008170472866257938, -0.8566823480003363, 2.3488666006700196, 0.07548346487841062, 0.0002928225459450928, -5.0855495858037614e-05, 0.001796353090484537, -0.0036865410521249586, -0.8585823435938433, 2.3530784239317573, 0.07248368528584503, -0.0002929979362944479, 0.0025052574788357873, -0.0004927383105117755","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.7079132,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.00234508631758068, -0.859162865368214, 2.3524502779801963, 0.07256202292403469, -0.0007158040663348686, 0.0030792534123964543, -0.00138837936505265, -0.0013388878761224632, -0.859159940268647, 2.3533974811502905, 0.07248380250855035, -0.0003796942275053894, 0.0029000829668843764, 0.001243410629318653, 0.0008170472866257938, -0.8566823480003363, 2.3488666006700196, 0.07548346487841062, 0.0002928225459450928, -5.0855495858037614e-05, 0.001796353090484537, -0.0036865410521249586, -0.8585823435938433, 2.3530784239317573, 0.07248368528584503, -0.0002929979362944479, 0.0025052574788357873, -0.0004927383105117755","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.8089318,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.00234508631758068, -0.859162865368214, 2.3524502779801963, 0.07256202292403469, -0.0007158040663348686, 0.0030792534123964543, -0.00138837936505265, -0.0013388878761224632, -0.859159940268647, 2.3533974811502905, 0.07248380250855035, -0.0003796942275053894, 0.0029000829668843764, 0.001243410629318653, 0.0008170472866257938, -0.8566823480003363, 2.3488666006700196, 0.07548346487841062, 0.0002928225459450928, -5.0855495858037614e-05, 0.001796353090484537, -0.0036865410521249586, -0.8585823435938433, 2.3530784239317573, 0.07248368528584503, -0.0002929979362944479, 0.0025052574788357873, -0.0004927383105117755","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.9078789,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.00234508631758068, -0.859162865368214, 2.3524502779801963, 0.07256202292403469, -0.0007158040663348686, 0.0030792534123964543, -0.00138837936505265, -0.0013388878761224632, -0.859159940268647, 2.3533974811502905, 0.07248380250855035, -0.0003796942275053894, 0.0029000829668843764, 0.001243410629318653, 0.0008170472866257938, -0.8566823480003363, 2.3488666006700196, 0.07548346487841062, 0.0002928225459450928, -5.0855495858037614e-05, 0.001796353090484537, -0.0036865410521249586, -0.8585823435938433, 2.3530784239317573, 0.07248368528584503, -0.0002929979362944479, 0.0025052574788357873, -0.0004927383105117755","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
1721902884.9296784,"LF_B2C, LF_C2F, LF_F2T, LF_T2E, LF_wristH, LF_wristV, LF_driving, LH_B2C, LH_C2F, LH_F2T, LH_T2E, LH_wristH, LH_wristV, LH_driving, RH_B2C, RH_C2F, RH_F2T, RH_T2E, RH_wristH, RH_wristV, RH_driving, RF_B2C, RF_C2F, RF_F2T, RF_T2E, RF_wristH, RF_wristV, RF_driving","-0.0026718367767779583, -0.8446724489792112, 2.3449167814418033, 0.07163325871428228, -0.0007667545446636836, 0.00036885895136062885, -0.0014828932283430518, -0.0012042145612767285, -0.8448854443019851, 2.345870384641188, 0.07138624605454513, -0.00029093152922854415, 0.00013965872037680072, 0.0012592637541075646, 0.0008016457258328558, -0.8437936017229708, 2.344204618022083, 0.07176278168615013, 0.00018826424220197424, -0.0006787220027755225, 0.0015605715076398852, -0.0034306998365440933, -0.844488829072314, 2.345438272171396, 0.07144612360741043, -0.00023536306702265364, 0.0001730111286581959, -0.00047744440401498167","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
