time,B2C_joint_pub,B2C_reference_position,B2C_feedback_position,B2C_position_error,B2C_reference_velocity,B2C_feedback_velocity,B2C_velocity_error,B2C_torque,C2F_joint_pub,C2F_reference_position,C2F_feedback_position,C2F_position_error,C2F_reference_velocity,C2F_feedback_velocity,C2F_velocity_error,C2F_torque,F2T_joint_pub,F2T_reference_position,F2T_feedback_position,F2T_position_error,F2T_reference_velocity,F2T_feedback_velocity,F2T_velocity_error,F2T_torque,T2E_joint_pub,T2E_reference_position,T2E_feedback_position,T2E_position_error,T2E_reference_velocity,T2E_feedback_velocity,T2E_velocity_error,T2E_torque,wristH_joint_pub,wristH_reference_position,wristH_feedback_position,wristH_position_error,wristH_reference_velocity,wristH_feedback_velocity,wristH_velocity_error,wristH_torque,wristV_joint_pub,wristV_reference_position,wristV_feedback_position,wristV_position_error,wristV_reference_velocity,wristV_feedback_velocity,wristV_velocity_error,wristV_torque,driving_joint_pub,driving_reference_position,driving_feedback_position,driving_position_error,driving_reference_velocity,driving_feedback_velocity,driving_velocity_error,driving_torque,
8.73571,0,0.00354545,0.0053549,-0.00180945,0,0.131715,-0.131715,-0.542835,0,-0.0443069,-0.0422687,-0.00203818,0,3.68191,-3.68191,-1.01909,0,1.64672,1.62683,0.0198928,0,-4.22413,4.22413,7.95713,0,-0.210474,-0.211186,0.000712627,0,-0.29499,0.29499,0.213788,0,-0.0278217,-0.027979,0.000157241,0,-0.0112482,0.0112482,0.0471723,0,0.195523,0.195503,2.06205e-05,0,-0.120863,0.120863,0.0103102,0,-0.0279301,-0.0214949,-0.00643524,0,0.0054358,-0.0054358,-0.0643524,
9.32588,0,0.00354545,0.0029229,0.000622556,0,-0.0186048,0.0186048,0.186767,0,-0.0443069,-0.0222742,-0.0220327,0,1.22525,-1.22525,-11.0163,0,1.64672,1.64455,0.00216632,0,-1.15091,1.15091,0.86653,0,-0.210474,-0.205824,-0.00464998,0,-0.13203,0.13203,-1.395,0,-0.0278217,-0.0278958,7.40406e-05,0,-0.0012419,0.0012419,0.0222122,0,0.195523,0.197198,-0.00167447,0,-0.0203573,0.0203573,-0.837235,0,-0.0279301,-0.0215251,-0.00640505,0,3.45538e-05,-3.45538e-05,-0.0640505,
9.42975,0,0.00354545,0.00300366,0.00054179,0,-0.0412747,0.0412747,0.162537,0,-0.0443069,-0.0389816,-0.00532522,0,-0.232061,0.232061,-2.66261,0,1.64672,1.64801,-0.00129042,0,-1.01767,1.01767,-0.516168,0,-0.210474,-0.207355,-0.00311837,0,-0.381298,0.381298,-0.935511,0,-0.0278217,-0.0278929,7.11849e-05,0,0.00122069,-0.00122069,0.0213555,0,0.195523,0.196995,-0.00147135,0,-0.00477206,0.00477206,-0.735673,0,-0.0279301,-0.0216093,-0.00632087,0,-0.000533419,0.000533419,-0.0632087,
9.53013,0,0.00354545,0.0030278,0.000517651,0,0.00713017,-0.00713017,0.155295,0,-0.0443069,-0.0516408,0.00733391,0,-0.572694,0.572694,3.66696,0,1.64672,1.63861,0.00810603,0,-0.200428,0.200428,3.24241,0,-0.210474,-0.213541,0.00306752,0,-0.16618,0.16618,0.920255,0,-0.0278217,-0.0278992,7.74474e-05,0,-0.000588332,0.000588332,0.0232342,0,0.195523,0.194802,0.00072102,0,-0.0353163,0.0353163,0.36051,0,-0.0279301,-0.0215622,-0.0063679,0,0.00337216,-0.00337216,-0.063679,
9.64974,0,0.00354545,0.00294198,0.000603477,0,0.00630475,-0.00630475,0.181043,0,-0.0443069,-0.0525188,0.00821197,0,-0.218424,0.218424,4.10598,0,1.64672,1.63666,0.0100608,0,0.140886,-0.140886,4.02431,0,-0.210474,-0.215447,0.00497364,0,-0.155215,0.155215,1.49209,0,-0.0278217,-0.0278872,6.55156e-05,0,0.00186924,-0.00186924,0.0196547,0,0.195523,0.194282,0.00124093,0,-0.0419353,0.0419353,0.620467,0,-0.0279301,-0.0215232,-0.00640695,0,0.00369634,-0.00369634,-0.0640695,
10.3725,0,0.00354545,0.00282951,0.000715938,0,-0.178242,0.178242,0.214781,0,-0.0443069,-0.0551448,0.0108379,0,-0.277503,0.277503,5.41894,0,1.64672,1.64034,0.00638146,0,0.257019,-0.257019,2.55258,0,-0.210474,-0.216032,0.00555883,0,-0.0272206,0.0272206,1.66765,0,-0.0278217,-0.0278185,-3.24782e-06,0,0.00734901,-0.00734901,-0.000974345,0,0.195523,0.194024,0.00149987,0,0.0135771,-0.0135771,0.749937,0,-0.0279301,-0.0214971,-0.00643299,0,-0.000174122,0.000174122,-0.0643299,
11.2934,0,0.00354545,0.00254157,0.00100389,0,0.0567166,-0.0567166,0.301166,0,-0.0443069,-0.0865492,0.0422423,0,-3.05958,3.05958,21.1212,0,1.64672,1.66783,-0.0211169,0,0.184064,-0.184064,-8.44674,0,-0.210474,-0.203931,-0.00654255,0,22.6692,-22.6692,-1.96276,0,-0.0278217,-0.0239469,-0.00387479,0,4.78446,-4.78446,-1.16244,0,0.195523,0.189954,0.00556949,0,-23.4947,23.4947,2.78474,0,-0.0279301,-0.0109376,-0.0169925,0,12.6394,-12.6394,-0.169925,
12.1851,0,0.00354545,0.00424249,-0.000697036,0,0.104317,-0.104317,-0.209111,0,-0.0443069,-0.0761152,0.0318083,0,2.05268,-2.05268,15.9042,0,1.64672,1.65867,-0.0119516,0,-1.83824,1.83824,-4.78065,0,-0.210474,-0.207966,-0.00250805,0,0.0759799,-0.0759799,-0.752414,0,-0.0278217,-0.0275564,-0.000265357,0,-0.00792803,0.00792803,-0.0796072,0,0.195523,0.198126,-0.00260295,0,0.419742,-0.419742,-1.30147,0,-0.0279301,-0.00424605,-0.0236841,0,-0.0106369,0.0106369,-0.236841,
13.0849,0,0.00354545,0.00489584,-0.00135039,0,0.0869876,-0.0869876,-0.405116,0,-0.0443069,-0.0539831,0.00967628,0,2.24077,-2.24077,4.83814,0,1.64672,1.6417,0.00502178,0,-1.41732,1.41732,2.00871,0,-0.210474,-0.214798,0.00432454,0,-1.44057,1.44057,1.29736,0,-0.0278217,-0.0275411,-0.00028057,0,0.0199878,-0.0199878,-0.0841709,0,0.195523,0.194308,0.00121554,0,-0.653355,0.653355,0.607772,0,-0.0279301,-0.00424128,-0.0236889,0,0.000530684,-0.000530684,-0.236889,
14.1956,0,0.00846495,0.00846495,0,0.310879,0.310879,0,0.00310879,-1.33812,-0.0385724,-0.0385724,0,1.30643,1.30643,0,0.0130643,2.4859,1.62899,1.62899,0,-1.0258,-1.0258,0,-0.010258,-1.00498,-0.217346,-0.217346,0,-0.00918247,-0.00918247,0,-9.18247e-05,0,-0.027552,-0.027552,0,0.00133996,0.00133996,0,1.33996e-05,0,0.193089,0.193089,0,-0.00228942,-0.00228942,0,-2.28942e-05,0,-0.00423085,-0.00423085,0,0.00031243,0.00031243,0,3.1243e-06,
