time,B2C_joint_pub,B2C_reference_position,B2C_feedback_position,B2C_position_error,B2C_reference_velocity,B2C_feedback_velocity,B2C_velocity_error,B2C_torque,C2F_joint_pub,C2F_reference_position,C2F_feedback_position,C2F_position_error,C2F_reference_velocity,C2F_feedback_velocity,C2F_velocity_error,C2F_torque,F2T_joint_pub,F2T_reference_position,F2T_feedback_position,F2T_position_error,F2T_reference_velocity,F2T_feedback_velocity,F2T_velocity_error,F2T_torque,T2E_joint_pub,T2E_reference_position,T2E_feedback_position,T2E_position_error,T2E_reference_velocity,T2E_feedback_velocity,T2E_velocity_error,T2E_torque,wristH_joint_pub,wristH_reference_position,wristH_feedback_position,wristH_position_error,wristH_reference_velocity,wristH_feedback_velocity,wristH_velocity_error,wristH_torque,wristV_joint_pub,wristV_reference_position,wristV_feedback_position,wristV_position_error,wristV_reference_velocity,wristV_feedback_velocity,wristV_velocity_error,wristV_torque,driving_joint_pub,driving_reference_position,driving_feedback_position,driving_position_error,driving_reference_velocity,driving_feedback_velocity,driving_velocity_error,driving_torque,
8.73554,0,0.00369411,0.00307494,0.000619169,0,-0.0660785,0.0660785,0.185751,0,-0.0440674,-0.0453026,0.00123519,0,9.18483,-9.18483,0.617596,0,1.64658,1.62983,0.0167457,0,-4.25037,4.25037,6.69828,0,-0.208416,-0.227518,0.0191029,0,-33.1915,33.1915,5.73087,0,-0.0295729,-0.0300037,0.0004308,0,-1.89884,1.89884,0.12924,0,0.19278,0.218902,-0.0261222,0,37.9486,-37.9486,-13.0611,0,-0.0295576,-0.0238974,-0.00566016,0,-7.23786,7.23786,-0.0566016,
9.32571,0,0.00369411,0.00489982,-0.00120571,0,0.115054,-0.115054,-0.361712,0,-0.0440674,-0.0185146,-0.0255528,0,0.610537,-0.610537,-12.7764,0,1.64658,1.64714,-0.000558453,0,-1.98394,1.98394,-0.223381,0,-0.208416,-0.191639,-0.0167767,0,24.9491,-24.9491,-5.033,0,-0.0295729,-0.0299133,0.000340374,0,0.0313148,-0.0313148,0.102112,0,0.19278,0.18185,0.0109299,0,-32.2197,32.2197,5.46497,0,-0.0295576,-0.025891,-0.00366662,0,0.724793,-0.724793,-0.0366662,
9.42948,0,0.00369411,0.00275354,0.000940572,0,-0.0190563,0.0190563,0.282171,0,-0.0440674,-0.0331442,-0.0109232,0,1.84914,-1.84914,-5.4616,0,1.64658,1.65874,-0.0121622,0,-0.159071,0.159071,-4.86489,0,-0.208416,-0.222734,0.0143188,0,-32.0614,32.0614,4.29565,0,-0.0295729,-0.0306019,0.00102897,0,-1.24093,1.24093,0.30869,0,0.19278,0.220583,-0.0278034,0,38.0683,-38.0683,-13.9017,0,-0.0295576,-0.028486,-0.00107159,0,-3.42011,3.42011,-0.0107159,
9.52993,0,0.00369411,0.00242084,0.00127327,0,-0.0244818,0.0244818,0.381981,0,-0.0440674,-0.0520215,0.00795404,0,2.27824,-2.27824,3.97702,0,1.64658,1.63064,0.0159401,0,0.352458,-0.352458,6.37604,0,-0.208416,-0.227545,0.0191291,0,-31.3394,31.3394,5.73873,0,-0.0295729,-0.0303398,0.000766921,0,-2.05689,2.05689,0.230076,0,0.19278,0.205045,-0.0122652,0,35.4908,-35.4908,-6.13261,0,-0.0295576,-0.0334929,0.00393536,0,-5.3875,5.3875,0.0393536,
9.64957,0,0.00369411,0.00350853,0.000185584,0,0.0524296,-0.0524296,0.0556752,0,-0.0440674,-0.0567198,0.0126523,0,0.215722,-0.215722,6.32617,0,1.64658,1.63081,0.0157664,0,0.64874,-0.64874,6.30654,0,-0.208416,-0.23212,0.0237049,0,-18.0275,18.0275,7.11146,0,-0.0295729,-0.0296347,6.18395e-05,0,-0.00809198,0.00809198,0.0185519,0,0.19278,0.198067,-0.00528763,0,23.2251,-23.2251,-2.64381,0,-0.0295576,-0.0328572,0.00329965,0,0.00251306,-0.00251306,0.0329965,
10.3721,0,0.00369411,0.00467802,-0.000983914,0,0.319779,-0.319779,-0.295174,0,-0.0440674,-0.0826626,0.0385952,0,-2.83879,2.83879,19.2976,0,1.64658,1.64939,-0.00280723,0,0.208627,-0.208627,-1.12289,0,-0.208416,-0.194064,-0.0143512,0,31.8875,-31.8875,-4.30537,0,-0.0295729,-0.0291017,-0.000471161,0,2.05431,-2.05431,-0.141348,0,0.19278,0.176941,0.0158388,0,-37.0806,37.0806,7.91939,0,-0.0295576,-0.0283658,-0.00119183,0,6.34794,-6.34794,-0.0119183,
11.2932,0,0.00369411,0.00520426,-0.00151015,0,-0.000863698,0.000863698,-0.453046,0,-0.0440674,-0.0903165,0.0462491,0,-0.299036,0.299036,23.1245,0,1.64658,1.66247,-0.0158936,0,0.795585,-0.795585,-6.35742,0,-0.208416,-0.207109,-0.00130698,0,-0.589284,0.589284,-0.392095,0,-0.0295729,-0.0295765,3.5907e-06,0,-0.0163805,0.0163805,0.00107721,0,0.19278,0.195617,-0.00283684,0,0.517335,-0.517335,-1.41842,0,-0.0295576,-0.0269673,-0.00259027,0,-0.0177343,0.0177343,-0.0259027,
12.1849,0,0.00369411,0.00508825,-0.00139414,0,0.0381154,-0.0381154,-0.418242,0,-0.0440674,-0.0932883,0.0492209,0,-0.256489,0.256489,24.6104,0,1.64658,1.66248,-0.0158945,0,-0.485154,0.485154,-6.35782,0,-0.208416,-0.205915,-0.00250095,0,5.10144,-5.10144,-0.750284,0,-0.0295729,-0.0296528,7.99166e-05,0,0.0140578,-0.0140578,0.023975,0,0.19278,0.19331,-0.000530288,0,-5.64646,5.64646,-0.265144,0,-0.0295576,-0.0268519,-0.00270569,0,-0.0160557,0.0160557,-0.0270569,
13.0847,0,0.00369411,0.00478439,-0.00109028,0,0.0427466,-0.0427466,-0.327084,0,-0.0440674,-0.0737533,0.0296858,0,3.08177,-3.08177,14.8429,0,1.64658,1.64249,0.00409402,0,-2.50134,2.50134,1.63761,0,-0.208416,-0.207772,-0.00064309,0,-0.00391233,0.00391233,-0.192927,0,-0.0295729,-0.0295692,-3.6625e-06,0,-0.00921901,0.00921901,-0.00109875,0,0.19278,0.193254,-0.000474291,0,-1.72321,1.72321,-0.237146,0,-0.0295576,-0.0268774,-0.0026802,0,-0.0021825,0.0021825,-0.026802,
14.1952,0,0.00426919,0.00426919,0,-0.0137222,-0.0137222,0,-0.000137222,-1.33812,-0.0448482,-0.0448482,0,2.19539,2.19539,0,0.0219539,2.4859,1.62244,1.62244,0,-1.68769,-1.68769,0,-0.0168769,-1.00498,-0.215372,-0.215372,0,0.00785612,0.00785612,0,7.85612e-05,0,-0.0295438,-0.0295438,0,0.00168632,0.00168632,0,1.68632e-05,0,0.18958,0.18958,0,-0.000817998,-0.000817998,0,-8.17998e-06,0,-0.0268099,-0.0268099,0,-0.000157913,-0.000157913,0,-1.57913e-06,
